FEATURE_ID,PRK_COVER,PRK_SECURE,PRK_LOCKER,PRK_CPT,BOROUGH,PHOTO1_URL,PHOTO2_URL
RWG014702,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014702_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014702_2.jpg
RWG014963,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014963_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014963_2.jpg
RWG014691,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014691_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014691_2.jpg
RWG048232,True,False,False,14.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048232_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048232_2.jpg
RWG048272,True,False,False,22.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048272_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048272_2.jpg
RWG015229,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015229_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015229_2.jpg
RWG048278,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048278_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048278_2.jpg
RWG015485,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015485_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015485_2.jpg
RWG044168,False,False,False,52.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044168_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044168_2.jpg
RWG048348,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048348_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048348_2.jpg
RWG048235,False,False,False,20.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048235_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048235_2.jpg
RWG048236,False,False,False,28.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048236_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048236_2.jpg
RWG048237,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048237_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048237_2.jpg
RWG015504,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015504_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015504_2.jpg
RWG015134,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015134_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015134_2.jpg
RWG015156,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015156_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015156_2.jpg
RWG048219,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048219_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048219_2.jpg
RWG014776,True,False,False,16.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014776_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014776_2.jpg
RWG015505,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015505_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015505_2.jpg
RWG015507,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015507_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015507_2.jpg
RWG048183,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048183_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048183_2.jpg
RWG048197,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048197_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048197_2.jpg
RWG048262,False,False,False,30.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048262_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048262_2.jpg
RWG108211,True,False,False,28.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG108211_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG108211_2.jpg
RWG015089,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015089_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015089_2.jpg
RWG015275,False,False,False,12.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015275_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015275_2.jpg
RWG015277,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015277_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015277_2.jpg
RWG015278,False,False,False,10.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015278_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015278_2.jpg
RWG048146,False,False,False,4.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG048146_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048146_2.jpg
RWG048230,True,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048230_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048230_2.jpg
RWG048231,True,False,False,12.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048231_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048231_2.jpg
RWG014962,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014962_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014962_2.jpg
RWG014964,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014964_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014964_2.jpg
RWG044142,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044142_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044142_2.jpg
RWG044128,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044128_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044128_2.jpg
RWG048273,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048273_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048273_2.jpg
RWG048275,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048275_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048275_2.jpg
RWG102434,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG102434_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG102434_2.jpg
RWG014942,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014942_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014942_2.jpg
RWG014943,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014943_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014943_2.jpg
RWG014944,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014944_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014944_2.jpg
RWG014978,False,False,False,12.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014978_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014978_2.jpg
RWG014886,True,True,False,10.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014886_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014886_2.jpg
RWG044137,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044137_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044137_2.jpg
RWG015446,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015446_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015446_2.jpg
RWG048279,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048279_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048279_2.jpg
RWG015433,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015433_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015433_2.jpg
RWG015528,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015528_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015528_2.jpg
RWG015529,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015529_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015529_2.jpg
RWG015531,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015531_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015531_2.jpg
RWG015533,False,False,False,24.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015533_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015533_2.jpg
RWG048198,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048198_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048198_2.jpg
RWG044123,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044123_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044123_2.jpg
RWG015282,False,False,False,2.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG015282_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015282_2.jpg
RWG015133,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015133_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015133_2.jpg
RWG014965,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014965_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014965_2.jpg
RWG048163,False,False,False,10.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048163_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048163_2.jpg
RWG048164,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048164_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048164_2.jpg
RWG048168,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048168_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048168_2.jpg
RWG048182,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048182_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048182_2.jpg
RWG048234,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048234_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048234_2.jpg
RWG048194,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048194_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048194_2.jpg
RWG015289,False,False,False,2.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG015289_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015289_2.jpg
RWG015292,False,False,False,2.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG015292_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015292_2.jpg
RWG015468,False,False,False,2.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG015468_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015468_2.jpg
RWG015526,False,False,False,10.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG015526_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015526_2.jpg
RWG048170,True,False,False,8.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG048170_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048170_2.jpg
RWG014888,True,False,False,10.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014888_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014888_2.jpg
RWG014889,True,True,False,10.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014889_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014889_2.jpg
RWG048335,True,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048335_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048335_2.jpg
